qid,question,ground_truth
q_349,"Who signed the girl group on October 5, 1995?","[""Dwayne Wiggins's Grass Roots Entertainment""]"
q_350,Which film featured Destiny's Child's first major single?,"[""Men in Black""]"
q_351,"For which song, did Destiny's Child take home the grammy award for best R&B performance?","[""\""Say My Name\""""]"
q_352,"Who did Beyonce record with for the movie ""The Best Man?""","[""Marc Nelson""]"
q_353,Beyonce's group changed their name to Destiny's Child in what year?,"[""1996""]"
q_354,The name Destiny's Child was based on a quote in which book of the Bible?,"[""Book of Isaiah""]"
q_355,"Debut song, ""Killing Time"" was featured on what movie's sound track?","[""Men in Black""]"
q_356,What song won Best R&B Performance in the 43 Annual Grammy Awards?,"[""Say My Name""]"
q_357,"What singer did Beyonce record a song with for the movie, ''The Best Man""?","[""Marc Nelson""]"
q_358,Where did Destiny's Child get their name from?,"[""Book of Isaiah.""]"
q_359,"Destiny's Child song, Killing Time, was included in which film's soundtrack?","[""Men in Black.""]"
q_360,What was Destiny's Child's first major song hit?,"[""No, No, No""]"
q_361,When did Destiny's Child release their second album?,"[""1999""]"
q_362,"Who did Beyoncé sing a duet with for ""The Best Man"" film?","[""Marc Nelson""]"
q_363,What mental health issue did Beyonce go through?,"[""depression""]"
q_364,What event occured after she was publicly criticized?,"[""boyfriend left her""]"
q_365,Who supported Beyonce through her depression?,"[""her mother""]"
q_366,What event caused Beyonce's depression?,"[""split with Luckett and Rober""]"
q_367,How long was Beyonce depressed?,"[""a couple of years""]"
q_368,Who helped Beyonce fight her depression the most?,"[""her mother""]"
q_369,Who replaced Luckett and Roberson in Destiny's Child?,"[""Farrah Franklin and Michelle Williams.""]"
q_370,Who was blamed for Luckett and Roberson leaving Destiny's Child?,"[""Beyoncé""]"
q_371,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,"[""her mother""]"
q_372,Which newest member was removed from Destiny's Child?,"[""Farrah Franklin""]"
q_373,"""Charlie's Angels"" featured which single from the band members?","[""Independent Women Part I""]"
q_374,"How many weeks did their single ""Independent Women Part I"" stay on top?","[""eleven""]"
q_375,"For what network, did Beyonce land a major movie role in?","[""MTV""]"
q_376,"Their third album, Survivor, sold how many during its first week?","[""663,000 copies""]"
q_377,What French composer wrote the original opera ''Carmen'' in the 19th century?,"[""Georges Bizet""]"
q_378,What album caused a lawsuit to be filed in 2001?,"[""Survivor""]"
q_379,Independent Women Part I was on which 2000 film's soundtrack?,"[""Charlie's Angels.""]"
q_380,Which film did Beyoncé star in 2001 with Mekhi Phifer?,"[""Carmen: A Hip Hopera""]"
q_381,What was the name of Destiny Child's third album?,"[""Survivor""]"
q_382,Who filed a lawsuit over Survivor?,"[""Luckett and Roberson""]"
q_383,When did Destiny's Child announce their hiatus?,"[""October 2001""]"
q_384,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?","[""Mike Myers""]"
q_385,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?","[""UK, Norway, and Belgium""]"
q_386,Beyonce starred with Cuba Gooding Jr. in which film?,"[""The Fighting Temptations""]"
q_387,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?","[""Missy Elliott""]"
q_388,Which other song from the soundtrack did better in the charts?,"[""Summertime""]"
q_389,What film did Beyonce appear in with Mike Myers?,"[""Austin Powers in Goldmember""]"
q_390,"What large amount did the movie ""Goldmember"" gross?","[""73 million""]"
q_391,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?","[""musical comedy""]"
q_392,What song was the lead single from the film's sound track?,"[""Fighting Temptations""]"
q_393,"How did the critics view the movie, ''The Fighting Temptations''?","[""mixed reviews""]"
q_394,What film did Beyoncé star in with Mike Myers in 2002?,"[""Austin Powers in Goldmember""]"
q_395,What was Beyoncé's character called in Austin Powers in Goldmember?,"[""Foxxy Cleopatra""]"
q_396,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,"[""Work It Out""]"
q_397,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?","[""The Fighting Temptations""]"
q_398,What song did Beyoncé release as the lead single from The Fighting Tempations?,"[""Fighting Temptations""]"
q_399,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,"[""number four""]"
q_400,Beyonce's first album by herself was called what?,"[""Dangerously in Love""]"
q_401,"How many has ""Dangerously in Love"" sould worldwide since its debut?","[""11 million""]"
q_402,Beyonce's first number one song was which song?,"[""Crazy in Love""]"
q_403,How many top five singles came from her first album?,"[""four""]"
q_404,Beyonce's first solo album in the U.S. with what artist in the lead single?,"[""Jay Z""]"
q_405,What solo album did Beyonce release in 2003?,"[""Dangerously in Love""]"
q_406,"The album, Dangerously in Love achieved what spot on the Billboard Top 100 chart?","[""number four""]"
q_407,"""The Closer I get to You"" was recorded with which artist?","[""Luther Vandross""]"
q_408,Which artist was associated with Beyoncé's premiere solo recording?,"[""Jay Z""]"
q_409,When did Beyoncé release her first solo album?,"[""June 24, 2003""]"
q_410,What is the lead single on Beyoncé's first album?,"[""Crazy in Love""]"
q_411,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,"[""Luther Vandross.""]"
q_412,How many awards did Beyoncé win at the 46th Grammy's Awards?,"[""five.""]"
q_413,Destiny's Child's final album was named what?,"[""Destiny Fulfilled""]"
q_414,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,"[""2006""]"
q_415,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,"[""November 2003""]"
q_416,What was the name of the final album of Destiny's Child?,"[""Destiny Fulfilled""]"
q_417,It was announced that Destiny's Child would disban in what European city?,"[""Barcelona""]"
q_418,When did Destiny's Child get their star on the Hollywood Walk of Fame?,"[""March 2006""]"
q_419,What was the name of Beyoncé's European start that started in November 2003?,"[""Dangerously in Love Tour""]"
q_420,Who did Beyoncé tour with for the Verizon Lades First Tour?,"[""Missy Elliott and Alicia Keys""]"
q_421,"What major event did Beyoncé perform at on February 1, 2004?","[""Super Bowl XXXVIII""]"
q_422,What is the name of the final studio album from Destiny's Child?,"[""Destiny Fulfilled.""]"
q_423,How many albums did Beyonce sell in the first week when she released her second album?,"[""541,000""]"
q_424,The lead single from the album was which song?,"[""Déjà Vu""]"
q_425,"How many countries did her song ""Irreplaceable"" get number one status in?","[""five""]"
q_426,How many singles did her second album produce?,"[""five""]"
q_427,What birthday did Beyonce's album B'Day celebrate?,"[""twenty-fifth birthday""]"
q_428,"What artist did Beyonce duet with in the single, ""Deja Vu''?","[""Jay Z""]"
q_429,How high did ''Deja Vu'' climb on the Billboard chart?,"[""top five""]"
q_430,What is the name of Beyoncé's second album?,"[""B'Day""]"
q_431,How many copies did B'Day sell during the first week of its release?,"[""541,000""]"
q_432,"Who collaborated with Beyoncé on the single, Deja Vu?","[""Jay Z""]"
q_433,Which single from B'Day was only released in the U.K.?,"[""Green Light""]"
q_434,What movie did Beyonce act in 2006?,"[""The Pink Panther""]"
q_435,Her second movie Beyonce did was what film?,"[""Dreamgirls""]"
q_436,"The single, ""Listen"" was featured in which movie?","[""Dreamgirls""]"
q_437,Beyonce's first world tour was when?,"[""2007""]"
q_438,How much money did Beyonce's tour make in 2007?,"[""24 million""]"
q_439,How many millions of dollars did ''The Pink Panther'' gross world-wide?,"[""158.8 million""]"
q_440,What did Beyonce call her first concert tour?,"[""The Beyoncé Experience""]"
q_441,Who was Beyonce's duet with in ''Beautiful Liar''?,"[""Shakira""]"
q_442,Which film did Beyoncé star with Steve Martin in?,"[""The Pink Panther""]"
q_443,Beyoncé's role in Dreamgirls was based on what pop singer?,"[""Diana Ross.""]"
q_444,What was the lead single for the Dreamgirls soundtrack?,"[""Listen""]"
q_445,What was the name of Beyoncé's first international tour?,"[""The Beyoncé Experience""]"
q_446,What pop singer did a duet with Beyoncé on Beautiful Liar?,"[""Shakira""]"
q_447,Beyonce got married in 2008 to whom?,"[""Jay Z""]"
q_448,"Her third album, ""I am...Sasha Fierce"" was released when?","[""November 18, 2008""]"
q_449,"For which decade, did Beyonce have more top ten songs than any other woman?","[""2000s""]"
q_450,Which singer beat out Beyonce for best video performance?,"[""Taylor Swift""]"
q_451,"In 2009, Beyonce started her second world tour and grossed how much money?","[""119.5 million""]"
q_452,How did she reveal the marriage?,"[""in a video montage""]"
q_453,When did Beyonce begin her second world tour?,"[""March 2009""]"
q_454,Who beat out Beyonce for Best Female Video ?,"[""Taylor Swift""]"
q_455,How much did the second world tour make in dollars?,"[""119.5 million""]"
q_456,When did Beyoncé get married?,"[""April 4, 2008""]"
q_457,Who did Beyoncé marry?,"[""Jay Z.""]"
q_458,Who is Beyoncé's alter ego?,"[""Sasha Fierce""]"
q_459,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,"[""Single Ladies""]"
q_460,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,"[""Kanye West""]"
q_461,"Beyonce portrayed which character in the film, Cadillac Records?","[""Etta James""]"
q_462,Beyonce gave her entire salary from Cadillac Records to which organization?,"[""Phoenix House""]"
q_463,Which song did Beyonce sing at the first couple's inaugural ball?,"[""At Last""]"
q_464,"What genre of film was the movie, Obsessed, in which Beyonce starred in?","[""thriller""]"
q_465,"A fight scene from the movie, Obsessed, won which award for Beyonce?","[""MTV Movie Award for Best Fight""]"
q_466,Where did Beyonce donate her salary from the movie Cadillac Records?,"[""Phoenix House""]"
q_467,What thriller film did Beyonce star in?,"[""Obsessed""]"
q_468,What was the name of the woman she played in Obsessed?,"[""Sharon Charles""]"
q_469,How much more that the buget did the film gross?,"[""60 million""]"
q_470,Which singer did Beyoncé portray in Cadillac Records?,"[""Etta James""]"
q_471,Which organization received Beyoncé's entire Cadillac Records salary?,"[""Phoenix House""]"
q_472,"Where did Beyoncé perform on January 20, 2009?","[""the First Couple's first inaugural ball.""]"
q_473,Which thriller film did Beyoncé star in with Ali Larter?,"[""Obsessed.""]"
q_474,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,"[""ten""]"
q_475,Beyonce tied with which artist for most nominations by a female artist?,"[""Lauryn Hill""]"
q_476,"In 2010, Beyonce worked with which other famous singer?","[""Lady Gaga""]"
q_477,"How many number one singles did Beyonce now have after the song ""Telephone""?","[""six""]"
q_478,Beyonce tied who for most number one singles by a female?,"[""Mariah Carey""]"
q_479,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,"[""ten nominations""]"
q_480,What song was the sixth first place song for Beyonce?,"[""Telephone""]"
q_481,Who else appeared with Beyonce in Telephone?,"[""Lady Gaga""]"
q_482,Who did they tie with for six top songs?,"[""Mariah Carey""]"
q_483,Who did Beyonce tie with for the most nominations in a year?,"[""Lauryn Hill""]"
q_484,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,"[""ten""]"
q_485,Who did Beyoncé tie with for the most Grammy nominations for female artists?,"[""Lauryn Hill""]"
q_486,"Beyoncé was a featured artist on which singer's hit, Telephone?","[""Lady Gaga""]"
q_487,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,"[""Mariah Carey""]"
q_488,Beyonce would take a break from music in which year?,"[""2010""]"
q_489,Which year did Beyonce and her father part business ways?,"[""2010""]"
q_490,Which famous landmark did Beyonce see in China?,"[""the Great Wall of China""]"
q_491,In what year did Beyonce have her hiatus?,"[""2010""]"
q_492,Who inspired this hiatus?,"[""her mother""]"
q_493,When did she stop using her father as a manager?,"[""During the break""]"
q_494,How long did the hiatus last?,"[""nine months""]"
q_495,What did Beyoncé announce in January 2010?,"[""a hiatus""]"
q_496,Who suggested the hiatus for Beyoncé?,"[""her mother""]"
q_497,Who did Beyoncé part ways with during her hiatus?,"[""her father""]"
q_498,How long did her hiatus last?,"[""nine months""]"
q_499,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,"[""2011""]"
q_500,Who did Beyonce donate the money to earned from her shows?,"[""Clinton Bush Haiti Fund""]"
q_501,Beyonce became the first female artist to perform solo in 20 years at which stage?,"[""the 2011 Glastonbury Festival""]"
q_502,Which organization did Beyonce's spokespeople confirm her donations to?,"[""The Huffington Post""]"
q_503,Beyonce was listed in 2011 as the highest paid performer per what?,"[""minute""]"
q_504,Hoe did everyone learn that Beyonce performed for Kaddafi?,"[""documents obtained by WikiLeaks""]"
q_505,When did this leak happen?,"[""2011""]"
q_506,Who did she tell about the donation?,"[""The Huffington Post""]"
q_507,Where did Beyonce perform in 2011?,"[""Glastonbury Festival""]"
q_508,Who did Beyoncé perform privately for in 2011?,"[""Muammar Gaddafi.""]"
q_509,Who released the information about Beyoncé's performance for the Libyan ruler?,"[""WikiLeaks""]"
q_510,Which organization did Beyoncé donate her pay for the private performance to?,"[""Clinton Bush Haiti Fund.""]"
q_511,Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,"[""Pyramid stage""]"
q_512,Beyonce's fourth album debuted in what year?,"[""2011""]"
q_513,Which single had the most success from that album?,"[""Love on Top""]"
q_514,Beyonce won an award for which activity in 2011?,"[""writing""]"
q_515,"in 2011, Beyonce performed for four nights where?","[""New York's Roseland Ballroom""]"
q_516,When was Beyonce's forth album released?,"[""June 28, 2011""]"
q_517,How many copies did the album sell in its first week?,"[""310,000 copies""]"
q_518,Who awarded Beyonce and award for writing?,"[""New York Association of Black Journalists""]"
q_519,When did she perform at the Roseland ballroom?,"[""2011""]"
q_520,What is the name of Beyoncé's fourth studio album?,"[""4""]"
q_521,When was 4 released?,"[""June 28, 2011""]"
q_522,How many copies of 4 sold in the first week?,"[""310,000""]"
q_523,What magazine did Beyoncé write a story for about her earlier hiatus?,"[""Essence""]"
q_524,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,"[""New York's Roseland Ballroom""]"
q_525,When did Beyonce have her first child?,"[""January 7, 2012""]"
q_526,Where did Beyonce give birth to her first child?,"[""Lenox Hill Hospital""]"
q_527,Beyonce's first child is named what?,"[""Blue Ivy Carter""]"
q_528,Her first appearance performing since giving birth was where?,"[""Revel Atlantic City's Ovation Hall""]"
q_529,When did Beyonce have her first child?,"[""January 7, 2012""]"
q_530,What was the child's name?,"[""Blue Ivy Carter""]"
q_531,How long was it after the birth of her child before she performed again?,"[""Five months""]"
q_532,How many nights did she perform at Atlantic City?,"[""four nights""]"
q_533,When did Beyoncé give birth to a daughter?,"[""January 7, 2012""]"
q_534,What did Beyoncé name her daughter?,"[""Blue Ivy Carter""]"
q_535,Where was Blue Ivy born?,"[""Lenox Hill Hospital in New York.""]"
q_536,Where was Beyoncé's first public performance after giving birth?,"[""Revel Atlantic City's Ovation Hall""]"
q_537,How many nights did Beyoncé play at the resort?,"[""four""]"
q_538,Destiny's Child released a compilation album about which topic?,"[""romance""]"
q_539,Beyonce's documentary movie was called what?,"[""Life Is But a Dream""]"
q_540,What did Beyonce sign in 2013?,"[""global publishing agreement""]"
q_541,"When did Destiny's Child release its album ""Love Songs""?","[""January 2013""]"
q_542,What was the title of the added track in Love Songs?,"[""Nuclear""]"
q_543,At whose inauguration did she perform the National Anthem?,"[""President Obama""]"
q_544,How many Tweets per minute did the half time show get?,"[""268,000 tweets per minute""]"
q_545,When did Destiny's Child release Love Songs?,"[""January 2013""]"
q_546,What was the new track for Love Songs?,"[""Nuclear""]"
q_547,What did Beyoncé sing at President Obama's second inauguration?,"[""the American national anthem""]"
q_548,What event did Beyoncé perform at one month after Obama's inauguration?,"[""Super Bowl XLVII halftime show""]"
q_549,What is the name of Beyoncé's documentary film?,"[""Life Is But a Dream""]"
q_550,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?","[""132""]"
q_551,One of Beyonce's most successful tours yet was which one?,"[""The Mrs. Carter Show""]"
q_552,"Beyonce wrote which song for the movie ""Epic""?","[""Rise Up""]"
q_553,Beyonce voiced a character in which animated film?,"[""Epic""]"
q_554,When did the tour begin?,"[""April 15""]"
q_555,Of what event was Beyonce honorary chair?,"[""2013 Met Gala""]"
q_556,What part did she voice for the movie Epic?,"[""Queen Tara""]"
q_557,What song did Beyonce record for the film Epic?,"[""Rise Up""]"
q_558,What was the name of Beyoncé's tour that she started on April 15?,"[""The Mrs. Carter Show World Tour""]"
q_559,How many dates did the Mrs. Carter Show World Tour have?,"[""132""]"
q_560,Which Amy Winehouse song did Beyoncé cover and release in May 2014?,"[""Back to Black""]"
q_561,Beyoncé was an honorary chair of the 2013 what?,"[""Met Gala.""]"
q_562,"Which character in the film, Epic, was voiced by Beyoncé?","[""Queen Tara""]"
q_563,Where did Beyonce release her 5th album to a huge surprise?,"[""the iTunes Store""]"
q_564,When did Beyonce get her fifth consecutive number one hit album?,"[""December 13, 2013""]"
q_565,Where was the album released?,"[""the iTunes Store""]"
q_566,Who joined Beyonce on her On The Run Tour?,"[""Jay Z""]"
q_567,Who reported Beyonce to e the top earning woman in music?,"[""Forbes""]"
q_568,How much more were her earnings that the year before?,"[""more than double her earnings""]"
q_569,When did Beyoncé release her fifth studio album?,"[""December 13, 2013""]"
q_570,How many digital copies of her fifth album did Beyoncé sell in six days?,"[""one million""]"
q_571,What song on Beyoncé's fifth studio album featured her husband?,"[""Drunk in Love""]"
q_572,What was the name of the tour featuring both Beyoncé and Jay Z?,"[""On the Run Tour.""]"
q_573,How many awards did Beyonce take home with her at the 57th Grammy Awards?,"[""three""]"
q_574,Which artist beat Beyonce out for Album of the year?,"[""Beck""]"
q_575,Which magazine did Beyonce pose on the cover for in August of 2015?,"[""Vogue""]"
q_576,Beyonce would perform with who at Superbowl 50?,"[""Coldplay""]"
q_577,Beyonce took home how many awards at the 57th Grammy Awards?,"[""three""]"
q_578,Beyonce lost to which artist for Album of the year?,"[""Beck""]"
q_579,Who did Beyonce perform next to during Superbowl 50?,"[""Coldplay""]"
q_580,"If Beyonce won three Grammies in 2015, how many was she nominated for?","[""six awards""]"
q_581,On what magazine was she the cover model?,"[""Vogue""]"
q_582,Who would she perform with at Superbowl 50?,"[""Coldplay""]"
q_583,With what British band did Beyonce perform on their album?,"[""Coldplay""]"
q_584,How many awards was Beyoncé nominated for at the 57th annual Grammys?,"[""six""]"
q_585,How many awards did Beyoncé win at the 57th Annual Grammys?,"[""three""]"
q_586,Beyoncé lost the Album of the Year award to which entertainer?,"[""Beck""]"
q_587,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?","[""Vogue""]"
q_588,Who did Beyonce perform with at Super Bowl 50?,"[""Coldplay""]"
q_589,"Beyonce released the song ""Formation"" on which online music service?","[""Tidal""]"
q_590,Beyonce's new single released before the super bowl was called what?,"[""Formation""]"
q_591,"What day did Beyonce release her single, Formation?","[""February 6, 2016""]"
q_592,How was the single released?,"[""exclusively""]"
q_593,What was the name of the streaming service?,"[""Tidal""]"
q_594,What kind of platform was the song released?,"[""music streaming""]"
q_595,When did Beyoncé release Formation?,"[""February 6, 2016""]"
q_596,"Where did Beyoncé exclusively release her single, Formation?","[""Tidal""]"
q_597,"As of April 2014, how many albums have Jay Z and Beyonce sold together?","[""300 million""]"
q_598,Where did Beyonce become pregnant?,"[""Paris""]"
q_599,"Beyonce described what as the ""hardest thing she had to endure""?","[""miscarriage""]"
q_600,Who did Beyonce have a relationship with?,"[""Jay Z""]"
q_601,When were Beyonce and Jay Z married?,"[""April 4, 2008""]"
q_602,Together how records have they sold ?,"[""300 million""]"
q_603,How did Beyonce deal with the miscarriage of her child?,"[""wrote music""]"
q_604,Where was Beyonce when she became pregnant?,"[""Paris""]"
q_605,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?","[""'03 Bonnie & Clyde""]"
q_606,When were Beyoncé and Jay Z married?,"[""April 4, 2008""]"
q_607,How many records combined have Beyoncé and Jay Z sold?,"[""300 million""]"
q_608,What did Beyoncé describe as the saddest thing in her life?,"[""miscarriage""]"
q_609,Where did Beyoncé get pregnant?,"[""Paris.""]"
q_610,Jay Z and Beyonce attended which event together in August of 2011?,"[""MTV Video Music Awards""]"
q_611,Beyonce confirmed what after performing one of her songs?,"[""her pregnancy""]"
q_612,How many people watched the 2011 MTV Music Awards?,"[""12.4 million""]"
q_613,Where did she announce her pregnancy?,"[""2011 MTV Video Music Awards""]"
q_614,Why was the broadcast the most-watched in history?,"[""Her appearance""]"
q_615,What even was recorded in the Guinness World Records?,"[""most tweets per second""]"
q_616,"What was the most searched term in week of Aug 29, 2011?","[""Beyonce pregnant""]"
q_617,What song did she perform at the MTV Awards?,"[""Love on Top""]"
q_618,Where did Beyoncé announce her pregnancy?,"[""2011 MTV Video Music Awards""]"
q_619,What song did Beyoncé sing prior to announcing her pregnancy?,"[""Love on Top""]"
q_620,How many people watched the 2011 MTV Video Music Awards?,"[""12.4 million""]"
q_621,"What was the most searched term on Google for the week of August 29, 2011?","[""Beyonce pregnant""]"
q_622,Jay Z has a website called what?,"[""Lifeandtimes.com""]"
q_623,Which song by Jay Z talked about the pregnancy struggles?,"[""Glory""]"
q_624,What was the name of Beyonce's daughter?,"[""Blue Ivy Carter""]"
q_625,At what hospital was the baby delivered?,"[""Lenox Hill Hospital""]"
q_626,What was the named of the song dedicated to the child?,"[""Glory""]"
q_627,What does B.I.C. stand for?,"[""Blue Ivy Carter""]"
q_628,Who was credited for her cries on the song?,"[""B.I.C.""]"
q_629,When did Beyoncé give birth to her daughter?,"[""January 7, 2012""]"
q_630,What did Beyoncé and Jay Z name their daughter?,"[""Blue Ivy Carter""]"
q_631,What song did Jay Z release two days after Blue Ivy was born?,"[""Glory""]"
q_632,What is included at the end of Glory?,"[""Blue Ivy's cries""]"
q_633,How was Blue Ivy credited on Glory?,"[""B.I.C.""]"
q_634,Beyonce and Jay-Z went to a rally for the acquittal of whom?,"[""George Zimmerman""]"
q_635,Beyonce sang which song during the 2009 presidential inauguration?,"[""America the Beautiful""]"
q_636,How much did Beyonce raise for Obama at the 40/40 Club?,"[""4 million""]"
q_637,"What did she endorse on March 26, 2013?","[""same sex marriage""]"
q_638,What did they attend in July 2013?,"[""a rally""]"
q_639,What did she sing at the 2009 Presidential Inauguration?,"[""America the Beautiful""]"
q_640,What song did Beyoncé perform at the 2009 inauguration of Obama?,"[""America the Beautiful""]"
q_641,What song did Beyoncé perform at the first inaugural dance for the Obamas.,"[""At Last""]"
q_642,What social media platform did Beyoncé upload a picture of her paper ballot on?,"[""Tumblr""]"
q_643,"When did Beyoncé endorse on March 26, 2013?","[""same sex marriage""]"
q_644,Beyonce did an interview with which magazine and was asked about feminism?,"[""Vogue""]"
q_645,Beyonce supported which campaign that encourages leadership in girls?,"[""Ban Bossy campaign""]"
q_646,Where was Beyonce quoted as saying that she is a modern-day feminist?,"[""Vogue""]"
q_647,When did she say the she is a feminist?,"[""April 2013""]"
q_648,What campaign did she contribute to?,"[""Ban Bossy""]"
q_649,What song did she release in 2013 in response to a speech?,"[""Flawless""]"
q_650,What does Ban Bossy encourage?,"[""leadership in girls""]"
q_651,"Beyoncé used words from which Nigerian author in her song, Flawless?","[""Chimamanda Ngozi Adichie""]"
q_652,Which campaign does Beyoncé contribute to that encourages leadership in females?,"[""Ban Bossy""]"
q_653,Beyonce signed a letter with who in 2015?,"[""the ONE Campaign""]"
q_654,An important UN summit took place when?,"[""September 2015""]"
q_655,The letter Beyonce signed focused on what issue?,"[""women""]"
q_656,What had to be set in developing funding?,"[""priorities""]"
q_657,When did Beyonce sign a letter for ONE Campaign?,"[""2015""]"
q_658,To whom was the letter addressed?,"[""Angela Merkel and Nkosazana Dlamini-Zuma""]"
q_659,Who are these women?,"[""head of the G7 in Germany""]"
q_660,When will they meet?,"[""September 2015""]"
q_661,Who did Beyoncé sign a letter for in 2015?,"[""the ONE Campaign""]"
q_662,Who was the letter addressed to?,"[""Angela Merkel and Nkosazana Dlamini-Zuma""]"
q_663,What was Angela Merkel serving as in relation to the letter?,"[""the head of the G7 in Germany""]"
q_664,What did the letter want the two recipients to focus on?,"[""women""]"
q_665,Beyonce along with Jay Z met with whom's family after their death?,"[""Freddie Gray""]"
q_666,Beyonce with Jay Z gave lots of money to bail who out of prison?,"[""protesters""]"
q_667,Who's death caused this protest?,"[""Freddie Gray""]"
q_668,How much bail money did they spend?,"[""thousands of dollars""]"
q_669,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,"[""Madonna and Celine Dion""]"
q_670,Beyonce and Jay Z got a Guinness World record for what in 2009?,"[""highest-earning power couple""]"
q_671,Beyonce became the highest-paid black musician in which year?,"[""2014""]"
q_672,"Up until May of 2015, how much is Beyonce's total worth?","[""250 million""]"
q_673,"Between 2008 and 2009, which entertainers did Beyonce beat in earnings?","[""Madonna and Celine Dion""]"
q_674,In 2012 who placed Beyonce at 16 in the Celebrity List?,"[""Forbes""]"
q_675,When did she and Jay Z become the highest paid black celebrity couple?,"[""2011""]"
q_676,How much did she earn in 2014?,"[""115 million""]"
q_677,What is Beyonce's net worth in 2015?,"[""250 million""]"
q_678,"Who began reporting Beyoncé's annual earnings, starting in 2008?","[""Forbes""]"
q_679,"When did Beyoncé become the highest paid black musician, ever?","[""April 2014.""]"
q_680,Who predicted that Beyoncé would become the highest paid black entertainer?,"[""MTV""]"
q_681,When did Jay Z and Beyoncé become the first music couple worth over a billion dollars?,"[""2013""]"
q_682,Beyonce's range in singing is how many octaves?,"[""four""]"
q_683,who talked about Beyonce's tone and timbre as distinctive?,"[""Jody Rosen""]"
q_684,"Which critic called Beyonce's voice ""versatile""?","[""The Daily Mail""]"
q_685,Which era was credited to have influenced Beyonce's singing style by Jody Rosen?,"[""hip hop""]"
q_686,How many octaves does Beyonce have?,"[""four octaves""]"
q_687,What did the Daily Mail say about Beyonce's voice?,"[""versatile""]"
q_688,What does Rosen claim influenced Beyonce's style?,"[""hip hop""]"
q_689,What do other critics claim?,"[""praise her range and power""]"
q_690,How many octaves does Beyoncé's voice span?,"[""four""]"
q_691,Why is Beyoncé known as the centerpiece of Destiny's Child?,"[""Her vocal abilities""]"
q_692,New York Times' Jon Pareles calls Beyoncé's voice velvety yet what?,"[""tart""]"
q_693,What does Jody Rosen say influenced Beyoncé's vocal style?,"[""the hip hop era""]"
q_694,Music from Beyonce is generally categorized as what genre?,"[""R&B""]"
q_695,"Besides R&B, which genres does Beyonce dabble in?","[""pop, soul and funk""]"
q_696,"Beyonce mostly releases English songs, but what other language did she release songs?","[""Spanish""]"
q_697,Spanish songs Beyonce released were for what?,"[""re-release of B'Day""]"
q_698,Beyonce was coached for her Spanish songs by which American?,"[""Rudy Perez""]"
q_699,What kind of music does Beyonce do?,"[""R&B""]"
q_700,What language does she mainly sing?,"[""English""]"
q_701,What other language has she sung?,"[""Spanish""]"
q_702,What album did she re-release in Spanish?,"[""B'Day""]"
q_703,What style of music does Beyoncé usually perform?,"[""R&B""]"
q_704,What language did Beyoncé release several songs in?,"[""Spanish""]"
q_705,Who coached Beyoncé for her Spanish recordings?,"[""Rudy Perez.""]"
q_706,What album did the Spanish songs come from?,"[""B'Day.""]"
q_707,Beyonce does not create which aspect of her music?,"[""beats""]"
q_708,An example of a song aimed towards a male audience is what?,"[""Cater 2 U""]"
q_709,What theme was Beyonce's early music?,"[""female-empowerment""]"
q_710,With Jay Z what were her new themes?,"[""man-tending anthems""]"
q_711,What does she get credits for in her music?,"[""co-producing credits""]"
q_712,What part of production does she do?,"[""melodies""]"
q_713,Beyoncé's early recordings empowered who?,"[""Women""]"
q_714,"In addition to co-writing credits, Beyoncé also got what credits for most of her albums?","[""co-producing""]"
q_715,"Rather than beats, what two things does Beyoncé usually come up with for producers?","[""melodies and ideas""]"
q_716,Pop Songwriter of the Year award in 2001 was awarded to whom?,"[""Beyoncé""]"
q_717,Beyonce received the Pop Songwriter of the Year award at which event?,"[""American Society of Composers, Authors, and Publishers Pop Music Awards""]"
q_718,Beyonce has the same number of writing credits on number one singles as whom?,"[""Diane Warren""]"
q_719,Beyonce joined 2 other women on what list from Billboard magazine in 2011?,"[""Top 20 Hot 100 Songwriters""]"
