qid,question,answer_with_context,model
q_384,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?",Mike Myers,llama3-8b-8192
q_385,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?",UNKNOWN,llama3-8b-8192
q_386,Beyonce starred with Cuba Gooding Jr. in which film?,The Fighting Temptations,llama3-8b-8192
q_387,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?","Missy Elliott, MC Lyte, and Free",llama3-8b-8192
q_388,Which other song from the soundtrack did better in the charts?,Summertime,llama3-8b-8192
q_389,What film did Beyonce appear in with Mike Myers?,Austin Powers in Goldmember,llama3-8b-8192
q_39,How many incoming students did Notre Dame admit in fall 2015?,"3,577",llama3-8b-8192
q_390,"What large amount did the movie ""Goldmember"" gross?",$73 million,llama3-8b-8192
q_391,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?",Musical comedy,llama3-8b-8192
q_392,What song was the lead single from the film's sound track?,Work It Out,llama3-8b-8192
q_393,"How did the critics view the movie, ''The Fighting Temptations''?",The film received mixed reviews from critics,llama3-8b-8192
q_394,What film did Beyoncé star in with Mike Myers in 2002?,Austin Powers in Goldmember,llama3-8b-8192
q_395,What was Beyoncé's character called in Austin Powers in Goldmember?,Foxxy Cleopatra,llama3-8b-8192
q_396,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,Work It Out,llama3-8b-8192
q_397,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?",The Fighting Temptations,llama3-8b-8192
q_398,What song did Beyoncé release as the lead single from The Fighting Tempations?,Fighting Temptation,llama3-8b-8192
q_399,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,number four,llama3-8b-8192
q_4,What sits on top of the Main Building at Notre Dame?,"The Word of Life mural, also known as ""Touchdown Jesus",llama3-8b-8192
q_40,What percentage of students were admitted to Notre Dame in fall 2015?,19,llama3-8b-8192
q_400,Beyonce's first album by herself was called what?,UNKNOWN,llama3-8b-8192
q_401,"How many has ""Dangerously in Love"" sould worldwide since its debut?",11 million,llama3-8b-8192
q_402,Beyonce's first number one song was which song?,"Bills, Bills, Bills",llama3-8b-8192
q_403,How many top five singles came from her first album?,Three,llama3-8b-8192
q_404,Beyonce's first solo album in the U.S. with what artist in the lead single?,Jay Z,llama3-8b-8192
q_405,What solo album did Beyonce release in 2003?,Dangerously in Love,llama3-8b-8192
q_406,"The album, Dangerously in Love achieved what spot on the Billboard Top 100 chart?",number four,llama3-8b-8192
q_407,"""The Closer I get to You"" was recorded with which artist?",Luther Vandross,llama3-8b-8192
q_408,Which artist was associated with Beyoncé's premiere solo recording?,Destiny's Child,llama3-8b-8192
q_409,When did Beyoncé release her first solo album?,"June 24, 2003",llama3-8b-8192
q_41,Where does Notre Dame rank in terms of academic profile among research universities in the US?,Among the top 10 to 15 in the nation for national research universities,llama3-8b-8192
q_410,What is the lead single on Beyoncé's first album?,Crazy in Love,llama3-8b-8192
q_411,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,Luther Vandross,llama3-8b-8192
q_412,How many awards did Beyoncé win at the 46th Grammy's Awards?,Five,llama3-8b-8192
q_413,Destiny's Child's final album was named what?,Destiny Fulfilled,llama3-8b-8192
q_414,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,March 2006,llama3-8b-8192
q_415,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,November 2003,llama3-8b-8192
q_416,What was the name of the final album of Destiny's Child?,Destiny Fulfilled,llama3-8b-8192
q_417,It was announced that Destiny's Child would disban in what European city?,Barcelona,llama3-8b-8192
q_418,When did Destiny's Child get their star on the Hollywood Walk of Fame?,March 2006,llama3-8b-8192
q_419,What was the name of Beyoncé's European start that started in November 2003?,Dangerously in Love Tour,llama3-8b-8192
q_42,What percentage of students at Notre Dame participated in the Early Action program?,39,llama3-8b-8192
q_420,Who did Beyoncé tour with for the Verizon Lades First Tour?,Missy Elliott and Alicia Keys,llama3-8b-8192
q_421,"What major event did Beyoncé perform at on February 1, 2004?",Super Bowl XXXVIII,llama3-8b-8192
q_422,What is the name of the final studio album from Destiny's Child?,Destiny Fulfilled,llama3-8b-8192
q_423,How many albums did Beyonce sell in the first week when she released her second album?,"541,000",llama3-8b-8192
q_424,The lead single from the album was which song?,Déjà Vu,llama3-8b-8192
q_425,"How many countries did her song ""Irreplaceable"" get number one status in?",5,llama3-8b-8192
q_426,How many singles did her second album produce?,Five singles,llama3-8b-8192
q_427,What birthday did Beyonce's album B'Day celebrate?,Twenty-fifth,llama3-8b-8192
q_428,"What artist did Beyonce duet with in the single, ""Deja Vu''?",Jay Z,llama3-8b-8192
q_429,How high did ''Deja Vu'' climb on the Billboard chart?,Top five,llama3-8b-8192
q_43,How many miles does the average student at Notre Dame travel to study there?,750,llama3-8b-8192
q_430,What is the name of Beyoncé's second album?,B'Day,llama3-8b-8192
q_431,How many copies did B'Day sell during the first week of its release?,"541,000",llama3-8b-8192
q_432,"Who collaborated with Beyoncé on the single, Deja Vu?",Jay Z,llama3-8b-8192
q_433,Which single from B'Day was only released in the U.K.?,Green Light,llama3-8b-8192
q_434,What movie did Beyonce act in 2006?,Dreamgirls,llama3-8b-8192
q_435,Her second movie Beyonce did was what film?,The Pink Panther,llama3-8b-8192
q_436,"The single, ""Listen"" was featured in which movie?",Dreamgirls,llama3-8b-8192
q_437,Beyonce's first world tour was when?,2003,llama3-8b-8192
q_438,How much money did Beyonce's tour make in 2007?,UNKNOWN,llama3-8b-8192
q_439,How many millions of dollars did ''The Pink Panther'' gross world-wide?,$158,llama3-8b-8192
q_44,Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,UNKNOWN,llama3-8b-8192
q_440,What did Beyonce call her first concert tour?,The Dangerously in Love Tour,llama3-8b-8192
q_441,Who was Beyonce's duet with in ''Beautiful Liar''?,Shakira,llama3-8b-8192
q_442,Which film did Beyoncé star with Steve Martin in?,The Pink Panther,llama3-8b-8192
q_443,Beyoncé's role in Dreamgirls was based on what pop singer?,Diana Ross,llama3-8b-8192
q_444,What was the lead single for the Dreamgirls soundtrack?,Listen,llama3-8b-8192
q_445,What was the name of Beyoncé's first international tour?,Dangerously in Love Tour,llama3-8b-8192
q_446,What pop singer did a duet with Beyoncé on Beautiful Liar?,Shakira,llama3-8b-8192
q_447,Beyonce got married in 2008 to whom?,Jay Z,llama3-8b-8192
q_448,"Her third album, ""I am...Sasha Fierce"" was released when?","November 18, 2008",llama3-8b-8192
q_449,"For which decade, did Beyonce have more top ten songs than any other woman?",2000s,llama3-8b-8192
q_45,Forbes.com placed Notre Dame at what position compared to other US research universities?,UNKNOWN,llama3-8b-8192
q_450,Which singer beat out Beyonce for best video performance?,Taylor Swift,llama3-8b-8192
q_451,"In 2009, Beyonce started her second world tour and grossed how much money?",$119,llama3-8b-8192
q_452,How did she reveal the marriage?,"In a video montage at the listening party for her third studio album, I Am",llama3-8b-8192
q_453,When did Beyonce begin her second world tour?,2009–2010,llama3-8b-8192
q_454,Who beat out Beyonce for Best Female Video ?,Taylor Swift,llama3-8b-8192
q_455,How much did the second world tour make in dollars?,$80 million,llama3-8b-8192
q_456,When did Beyoncé get married?,"April 4, 2008",llama3-8b-8192
q_457,Who did Beyoncé marry?,Jay Z,llama3-8b-8192
q_458,Who is Beyoncé's alter ego?,Sasha Fierce,llama3-8b-8192
q_459,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,Single Ladies (Put a Ring on It),llama3-8b-8192
q_46,The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,1st overall,llama3-8b-8192
q_460,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,Kanye West,llama3-8b-8192
q_461,"Beyonce portrayed which character in the film, Cadillac Records?",Etta James,llama3-8b-8192
q_462,Beyonce gave her entire salary from Cadillac Records to which organization?,Phoenix House,llama3-8b-8192
q_463,Which song did Beyonce sing at the first couple's inaugural ball?,At Last,llama3-8b-8192
q_464,"What genre of film was the movie, Obsessed, in which Beyonce starred in?",Thriller,llama3-8b-8192
q_465,"A fight scene from the movie, Obsessed, won which award for Beyonce?",2010 MTV Movie Award for Best Fight,llama3-8b-8192
q_466,Where did Beyonce donate her salary from the movie Cadillac Records?,Phoenix House,llama3-8b-8192
q_467,What thriller film did Beyonce star in?,Obsessed,llama3-8b-8192
q_468,What was the name of the woman she played in Obsessed?,Sharon Charles,llama3-8b-8192
q_469,How much more that the buget did the film gross?,$60 million,llama3-8b-8192
q_47,In 2014 what entity named Notre Dame 10th best of all American universities?,USA Today,llama3-8b-8192
q_470,Which singer did Beyoncé portray in Cadillac Records?,Etta James,llama3-8b-8192
q_471,Which organization received Beyoncé's entire Cadillac Records salary?,Phoenix House,llama3-8b-8192
q_472,"Where did Beyoncé perform on January 20, 2009?",The First Couple's first inaugural ball,llama3-8b-8192
q_473,Which thriller film did Beyoncé star in with Ali Larter?,Obsessed,llama3-8b-8192
q_474,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,Ten,llama3-8b-8192
q_475,Beyonce tied with which artist for most nominations by a female artist?,Lauryn Hill,llama3-8b-8192
q_476,"In 2010, Beyonce worked with which other famous singer?",Gwyneth Paltrow,llama3-8b-8192
q_477,"How many number one singles did Beyonce now have after the song ""Telephone""?",Six,llama3-8b-8192
q_478,Beyonce tied who for most number one singles by a female?,Lady Gaga and Mariah Carey,llama3-8b-8192
q_479,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,Ten,llama3-8b-8192
q_48,What percentage of Notre Dame students decide to study abroad?,57,llama3-8b-8192
q_480,What song was the sixth first place song for Beyonce?,Telephone,llama3-8b-8192
q_481,Who else appeared with Beyonce in Telephone?,Lady Gaga,llama3-8b-8192
q_482,Who did they tie with for six top songs?,Mariah Carey,llama3-8b-8192
q_483,Who did Beyonce tie with for the most nominations in a year?,Lauryn Hill,llama3-8b-8192
q_484,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,Ten,llama3-8b-8192
q_485,Who did Beyoncé tie with for the most Grammy nominations for female artists?,Lauryn Hill,llama3-8b-8192
q_486,"Beyoncé was a featured artist on which singer's hit, Telephone?",Lady Gaga,llama3-8b-8192
q_487,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey,llama3-8b-8192
q_488,Beyonce would take a break from music in which year?,January 2010,llama3-8b-8192
q_489,Which year did Beyonce and her father part business ways?,2010,llama3-8b-8192
q_49,What person was the Director of the Science Museum at Notre Dame in the late 19th century?,"Father Joseph Carrier, C",llama3-8b-8192
q_490,Which famous landmark did Beyonce see in China?,The Great Wall of China,llama3-8b-8192
q_491,In what year did Beyonce have her hiatus?,2010,llama3-8b-8192
q_492,Who inspired this hiatus?,Her mother,llama3-8b-8192
q_493,When did she stop using her father as a manager?,UNKNOWN,llama3-8b-8192
q_494,How long did the hiatus last?,Nine months,llama3-8b-8192
q_495,What did Beyoncé announce in January 2010?,a hiatus from her music career,llama3-8b-8192
q_496,Who suggested the hiatus for Beyoncé?,Her mother,llama3-8b-8192
q_497,Who did Beyoncé part ways with during her hiatus?,Her father,llama3-8b-8192
q_498,How long did her hiatus last?,Nine months,llama3-8b-8192
q_499,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,2011,llama3-8b-8192
q_5,When did the Scholastic Magazine of Notre dame begin publishing?,September 1876,llama3-8b-8192
q_50,What was the lifespan of John Augustine Zahm?,1851–1921,llama3-8b-8192
q_500,Who did Beyonce donate the money to earned from her shows?,The Clinton Bush Haiti Fund,llama3-8b-8192
q_501,Beyonce became the first female artist to perform solo in 20 years at which stage?,Glastonbury Festival,llama3-8b-8192
q_502,Which organization did Beyonce's spokespeople confirm her donations to?,The Clinton Bush Haiti Fund,llama3-8b-8192
q_503,Beyonce was listed in 2011 as the highest paid performer per what?,per minute,llama3-8b-8192
q_504,Hoe did everyone learn that Beyonce performed for Kaddafi?,UNKNOWN,llama3-8b-8192
q_506,Who did she tell about the donation?,The Huffington Post,llama3-8b-8192
q_507,Where did Beyonce perform in 2011?,"Libya, Glastonbury Festival, and MTV Video Music Awards",llama3-8b-8192
q_508,Who did Beyoncé perform privately for in 2011?,The family of Libyan ruler Muammar Gaddafi,llama3-8b-8192
q_509,Who released the information about Beyoncé's performance for the Libyan ruler?,WikiLeaks,llama3-8b-8192
q_51,What program did John Augustine Zahm come to co-direct at Nore Dame?,Science Department,llama3-8b-8192
q_510,Which organization did Beyoncé donate her pay for the private performance to?,The Clinton Bush Haiti Fund,llama3-8b-8192
q_511,Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,main Pyramid stage,llama3-8b-8192
q_512,Beyonce's fourth album debuted in what year?,2011,llama3-8b-8192
q_513,Which single had the most success from that album?,Single Ladies (Put a Ring on It),llama3-8b-8192
q_514,Beyonce won an award for which activity in 2011?,A writing award from the New York Association of Black Journalists,llama3-8b-8192
q_515,"in 2011, Beyonce performed for four nights where?",Revel Atlantic City's Ovation Hall and New York's Roseland Ballroom,llama3-8b-8192
q_516,When was Beyonce's forth album released?,UNKNOWN,llama3-8b-8192
q_517,How many copies did the album sell in its first week?,"317,000",llama3-8b-8192
q_518,Who awarded Beyonce and award for writing?,"American Society of Composers, Authors, and Publishers",llama3-8b-8192
q_519,When did she perform at the Roseland ballroom?,Late 2011,llama3-8b-8192
q_52,What book did John Zahm write in 1896?,Evolution and Dogma,llama3-8b-8192
q_520,What is the name of Beyoncé's fourth studio album?,4,llama3-8b-8192
q_521,When was 4 released?,"June 28, 2011",llama3-8b-8192
q_522,How many copies of 4 sold in the first week?,"310,000",llama3-8b-8192
q_523,What magazine did Beyoncé write a story for about her earlier hiatus?,Essence,llama3-8b-8192
q_524,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,New York's Roseland Ballroom,llama3-8b-8192
q_525,When did Beyonce have her first child?,"January 7, 2012",llama3-8b-8192
q_526,Where did Beyonce give birth to her first child?,Lenox Hill Hospital in New York,llama3-8b-8192
q_527,Beyonce's first child is named what?,Blue Ivy Carter,llama3-8b-8192
q_528,Her first appearance performing since giving birth was where?,Revel Atlantic City's Ovation Hall,llama3-8b-8192
q_529,When did Beyonce have her first child?,"January 7, 2012",llama3-8b-8192
q_53,What professorship did Father Josh Carrier hold at Notre Dame?,Professor of Chemistry and Physics,llama3-8b-8192
q_530,What was the child's name?,Beyoncé Giselle Knowles,llama3-8b-8192
q_531,How long was it after the birth of her child before she performed again?,Five months,llama3-8b-8192
q_532,How many nights did she perform at Atlantic City?,Four nights,llama3-8b-8192
q_533,When did Beyoncé give birth to a daughter?,"January 7, 2012",llama3-8b-8192
q_534,What did Beyoncé name her daughter?,Blue Ivy Carter,llama3-8b-8192
q_535,Where was Blue Ivy born?,Lenox Hill Hospital in New York,llama3-8b-8192
q_536,Where was Beyoncé's first public performance after giving birth?,Revel Atlantic City's Ovation Hall,llama3-8b-8192
q_537,How many nights did Beyoncé play at the resort?,Four nights,llama3-8b-8192
q_538,Destiny's Child released a compilation album about which topic?,Number 1's,llama3-8b-8192
q_539,Beyonce's documentary movie was called what?,UNKNOWN,llama3-8b-8192
q_54,In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?,1882,llama3-8b-8192
q_540,What did Beyonce sign in 2013?,A global publishing agreement with Warner/Chappell Music,llama3-8b-8192
q_541,"When did Destiny's Child release its album ""Love Songs""?",January 2013,llama3-8b-8192
q_542,What was the title of the added track in Love Songs?,Nuclear,llama3-8b-8192
q_543,At whose inauguration did she perform the National Anthem?,President Barack Obama's,llama3-8b-8192
q_544,How many Tweets per minute did the half time show get?,"268,000",llama3-8b-8192
q_545,When did Destiny's Child release Love Songs?,January 2013,llama3-8b-8192
q_546,What was the new track for Love Songs?,Nuclear,llama3-8b-8192
q_547,What did Beyoncé sing at President Obama's second inauguration?,"The American national anthem, singing along with a pre-recorded track",llama3-8b-8192
q_548,What event did Beyoncé perform at one month after Obama's inauguration?,The Neighborhood Ball,llama3-8b-8192
q_549,What is the name of Beyoncé's documentary film?,Life Is But a Dream,llama3-8b-8192
q_55,Which professor sent the first wireless message in the USA?,Professor Jerome Green,llama3-8b-8192
q_550,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?",132,llama3-8b-8192
q_551,One of Beyonce's most successful tours yet was which one?,The Mrs,llama3-8b-8192
q_552,"Beyonce wrote which song for the movie ""Epic""?",Rise Up,llama3-8b-8192
q_553,Beyonce voiced a character in which animated film?,Epic,llama3-8b-8192
q_554,When did the tour begin?,April 15,llama3-8b-8192
q_555,Of what event was Beyonce honorary chair?,2013 Met Gala,llama3-8b-8192
q_556,What part did she voice for the movie Epic?,Queen Tara,llama3-8b-8192
q_557,What song did Beyonce record for the film Epic?,Rise Up,llama3-8b-8192
q_558,What was the name of Beyoncé's tour that she started on April 15?,The Mrs,llama3-8b-8192
q_559,How many dates did the Mrs. Carter Show World Tour have?,132,llama3-8b-8192
q_56,In what year did Jerome Green send his first wireless message?,1899,llama3-8b-8192
q_560,Which Amy Winehouse song did Beyoncé cover and release in May 2014?,Back to Black,llama3-8b-8192
q_561,Beyoncé was an honorary chair of the 2013 what?,Met Gala,llama3-8b-8192
q_562,"Which character in the film, Epic, was voiced by Beyoncé?",UNKNOWN,llama3-8b-8192
q_563,Where did Beyonce release her 5th album to a huge surprise?,UNKNOWN,llama3-8b-8192
q_564,When did Beyonce get her fifth consecutive number one hit album?,"December 13, 2013",llama3-8b-8192
q_565,Where was the album released?,"June 24, 2003",llama3-8b-8192
q_566,Who joined Beyonce on her On The Run Tour?,Jay Z,llama3-8b-8192
q_567,Who reported Beyonce to e the top earning woman in music?,Forbes,llama3-8b-8192
q_568,How much more were her earnings that the year before?,$115 million,llama3-8b-8192
q_569,When did Beyoncé release her fifth studio album?,"December 13, 2013",llama3-8b-8192
q_57,Which individual worked on projects at Notre Dame that eventually created neoprene?,Father Julius Nieuwland,llama3-8b-8192
q_570,How many digital copies of her fifth album did Beyoncé sell in six days?,One million,llama3-8b-8192
q_571,What song on Beyoncé's fifth studio album featured her husband?,Drunk in Love,llama3-8b-8192
q_572,What was the name of the tour featuring both Beyoncé and Jay Z?,On the Run Tour,llama3-8b-8192
q_573,How many awards did Beyonce take home with her at the 57th Grammy Awards?,Three,llama3-8b-8192
q_574,Which artist beat Beyonce out for Album of the year?,UNKNOWN,llama3-8b-8192
q_575,Which magazine did Beyonce pose on the cover for in August of 2015?,Vogue,llama3-8b-8192
q_576,Beyonce would perform with who at Superbowl 50?,Coldplay,llama3-8b-8192
q_577,Beyonce took home how many awards at the 57th Grammy Awards?,Three,llama3-8b-8192
q_578,Beyonce lost to which artist for Album of the year?,Taylor Swift,llama3-8b-8192
q_579,Who did Beyonce perform next to during Superbowl 50?,UNKNOWN,llama3-8b-8192
q_58,What did the brother of John Zahm construct at Notre Dame?,An early wind tunnel,llama3-8b-8192
q_580,"If Beyonce won three Grammies in 2015, how many was she nominated for?",Six,llama3-8b-8192
q_581,On what magazine was she the cover model?,L'Officiel and Vogue,llama3-8b-8192
q_582,Who would she perform with at Superbowl 50?,Coldplay,llama3-8b-8192
q_583,With what British band did Beyonce perform on their album?,Coldplay,llama3-8b-8192
q_584,How many awards was Beyoncé nominated for at the 57th annual Grammys?,Six,llama3-8b-8192
q_585,How many awards did Beyoncé win at the 57th Annual Grammys?,Three,llama3-8b-8192
q_586,Beyoncé lost the Album of the Year award to which entertainer?,UNKNOWN,llama3-8b-8192
q_587,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Forbes,llama3-8b-8192
q_588,Who did Beyonce perform with at Super Bowl 50?,Coldplay,llama3-8b-8192
q_589,"Beyonce released the song ""Formation"" on which online music service?",Tidal,llama3-8b-8192
q_59,Work on a germ-free-life ended up in the creation of which Notre Dame institute?,UNKNOWN,llama3-8b-8192
q_590,Beyonce's new single released before the super bowl was called what?,Formation,llama3-8b-8192
q_591,"What day did Beyonce release her single, Formation?","February 6, 2016",llama3-8b-8192
q_592,How was the single released?,exclusively on music streaming service Tidal,llama3-8b-8192
q_593,What was the name of the streaming service?,Tidal,llama3-8b-8192
q_594,What kind of platform was the song released?,Jay Z's website Lifeandtimes,llama3-8b-8192
q_595,When did Beyoncé release Formation?,"February 6, 2016",llama3-8b-8192
q_596,"Where did Beyoncé exclusively release her single, Formation?",Tidal,llama3-8b-8192
q_597,"As of April 2014, how many albums have Jay Z and Beyonce sold together?",300 million,llama3-8b-8192
q_598,Where did Beyonce become pregnant?,Paris,llama3-8b-8192
q_599,"Beyonce described what as the ""hardest thing she had to endure""?",the saddest thing,llama3-8b-8192
q_6,How often is Notre Dame's the Juggler published?,Twice a year,llama3-8b-8192
q_60,Around what time did Lobund of Notre Dame become independent?,The 1940s,llama3-8b-8192
q_600,Who did Beyonce have a relationship with?,Jay Z,llama3-8b-8192
q_601,When were Beyonce and Jay Z married?,"April 4, 2008",llama3-8b-8192
q_602,Together how records have they sold ?,300 million,llama3-8b-8192
q_603,How did Beyonce deal with the miscarriage of her child?,"The song ""Glory"" detailed the couple's pregnancy struggles, including a miscarriage Beyoncé suffered before becoming pregnant with Blue Ivy",llama3-8b-8192
q_604,Where was Beyonce when she became pregnant?,Paris,llama3-8b-8192
q_605,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?",03 Bonnie & Clyde,llama3-8b-8192
q_606,When were Beyoncé and Jay Z married?,"April 4, 2008",llama3-8b-8192
q_607,How many records combined have Beyoncé and Jay Z sold?,300 million,llama3-8b-8192
q_608,What did Beyoncé describe as the saddest thing in her life?,the saddest thing,llama3-8b-8192
q_609,Where did Beyoncé get pregnant?,Paris,llama3-8b-8192
q_61,In what year did Lobund at Notre Dame become an Institute?,1950,llama3-8b-8192
q_610,Jay Z and Beyonce attended which event together in August of 2011?,2011 MTV Video Music Awards,llama3-8b-8192
q_611,Beyonce confirmed what after performing one of her songs?,Her pregnancy,llama3-8b-8192
q_612,How many people watched the 2011 MTV Music Awards?,12,llama3-8b-8192
q_613,Where did she announce her pregnancy?,At the 2011 MTV Video Music Awards,llama3-8b-8192
q_614,Why was the broadcast the most-watched in history?,UNKNOWN,llama3-8b-8192
q_615,What even was recorded in the Guinness World Records?,most tweets per second recorded for a single event,llama3-8b-8192
q_616,"What was the most searched term in week of Aug 29, 2011?",Beyonce pregnant,llama3-8b-8192
q_617,What song did she perform at the MTV Awards?,Love on Top,llama3-8b-8192
q_618,Where did Beyoncé announce her pregnancy?,At the 2011 MTV Video Music Awards,llama3-8b-8192
q_619,What song did Beyoncé sing prior to announcing her pregnancy?,Love on Top,llama3-8b-8192
q_62,The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,1958,llama3-8b-8192
q_620,How many people watched the 2011 MTV Video Music Awards?,12,llama3-8b-8192
q_621,"What was the most searched term on Google for the week of August 29, 2011?",Beyonce pregnant,llama3-8b-8192
q_622,Jay Z has a website called what?,Lifeandtimes,llama3-8b-8192
q_623,Which song by Jay Z talked about the pregnancy struggles?,Glory,llama3-8b-8192
q_624,What was the name of Beyonce's daughter?,Blue Ivy Carter,llama3-8b-8192
q_625,At what hospital was the baby delivered?,Lenox Hill Hospital in New York,llama3-8b-8192
q_626,What was the named of the song dedicated to the child?,Glory,llama3-8b-8192
q_627,What does B.I.C. stand for?,UNKNOWN,llama3-8b-8192
q_628,Who was credited for her cries on the song?,Blue Ivy Carter,llama3-8b-8192
q_629,When did Beyoncé give birth to her daughter?,"January 7, 2012",llama3-8b-8192
q_63,When did study of a germ-free-life begin at Notre Dame?,UNKNOWN,llama3-8b-8192
q_630,What did Beyoncé and Jay Z name their daughter?,Blue Ivy Carter,llama3-8b-8192
q_631,What song did Jay Z release two days after Blue Ivy was born?,Glory,llama3-8b-8192
q_632,What is included at the end of Glory?,Blue Ivy's cries,llama3-8b-8192
q_633,How was Blue Ivy credited on Glory?,B,llama3-8b-8192
q_634,Beyonce and Jay-Z went to a rally for the acquittal of whom?,George Zimmerman for the shooting of Trayvon Martin,llama3-8b-8192
q_635,Beyonce sang which song during the 2009 presidential inauguration?,America the Beautiful,llama3-8b-8192
q_636,How much did Beyonce raise for Obama at the 40/40 Club?,$4 million,llama3-8b-8192
q_637,"What did she endorse on March 26, 2013?",Same sex marriage,llama3-8b-8192
q_638,What did they attend in July 2013?,Notre Dame's conference affiliations for all of its sports except football and fencing changed,llama3-8b-8192
q_639,What did she sing at the 2009 Presidential Inauguration?,"America the Beautiful"" and ""At Last",llama3-8b-8192
q_64,Gurian created what in 1939 at Notre Dame?,The Review of Politics,llama3-8b-8192
q_640,What song did Beyoncé perform at the 2009 inauguration of Obama?,"America the Beautiful"" and ""At Last",llama3-8b-8192
q_641,What song did Beyoncé perform at the first inaugural dance for the Obamas.,At Last,llama3-8b-8192
q_642,What social media platform did Beyoncé upload a picture of her paper ballot on?,Tumblr,llama3-8b-8192
q_643,"When did Beyoncé endorse on March 26, 2013?",same sex marriage,llama3-8b-8192
q_644,Beyonce did an interview with which magazine and was asked about feminism?,Vogue,llama3-8b-8192
q_645,Beyonce supported which campaign that encourages leadership in girls?,The Ban Bossy campaign,llama3-8b-8192
q_646,Where was Beyonce quoted as saying that she is a modern-day feminist?,UNKNOWN,llama3-8b-8192
q_647,When did she say the she is a feminist?,April 2013,llama3-8b-8192
q_648,What campaign did she contribute to?,Ban Bossy campaign,llama3-8b-8192
q_649,What song did she release in 2013 in response to a speech?,Flawless,llama3-8b-8192
q_65,What was the Review of Politics inspired by?,German Catholic journals,llama3-8b-8192
q_650,What does Ban Bossy encourage?,leadership in girls,llama3-8b-8192
q_651,"Beyoncé used words from which Nigerian author in her song, Flawless?",Chimamanda Ngozi Adichie,llama3-8b-8192
q_652,Which campaign does Beyoncé contribute to that encourages leadership in females?,Ban Bossy campaign,llama3-8b-8192
q_653,Beyonce signed a letter with who in 2015?,Angela Merkel and Nkosazana Dlamini-Zuma,llama3-8b-8192
q_654,An important UN summit took place when?,September 2015,llama3-8b-8192
q_655,The letter Beyonce signed focused on what issue?,women,llama3-8b-8192
q_656,What had to be set in developing funding?,Priorities in development funding,llama3-8b-8192
q_657,When did Beyonce sign a letter for ONE Campaign?,2015,llama3-8b-8192
q_658,To whom was the letter addressed?,Angela Merkel and Nkosazana Dlamini-Zuma,llama3-8b-8192
q_659,Who are these women?,"Mary Ann Proctor, Angela Sienko, Beyoncé, Tina",llama3-8b-8192
q_66,Over how many years did Gurian edit the Review of Politics at Notre Dame?,44,llama3-8b-8192
q_660,When will they meet?,UNKNOWN,llama3-8b-8192
q_661,Who did Beyoncé sign a letter for in 2015?,Angela Merkel and Nkosazana Dlamini-Zuma,llama3-8b-8192
q_662,Who was the letter addressed to?,Angela Merkel and Nkosazana Dlamini-Zuma,llama3-8b-8192
q_663,What was Angela Merkel serving as in relation to the letter?,head of the G7 in Germany,llama3-8b-8192
q_664,What did the letter want the two recipients to focus on?,women,llama3-8b-8192
q_665,Beyonce along with Jay Z met with whom's family after their death?,Freddie Gray,llama3-8b-8192
q_666,Beyonce with Jay Z gave lots of money to bail who out of prison?,Protesters of Freddie Gray's death,llama3-8b-8192
q_667,Who's death caused this protest?,Freddie Gray,llama3-8b-8192
q_668,How much bail money did they spend?,Thousands of dollars,llama3-8b-8192
q_669,Beyonce beat out which musical artists for most paid between June 2007 and June 2008?,Madonna and Celine Dion,llama3-8b-8192
q_67,Thomas Stritch was an editor of which publican from Notre Dame?,The Review of Politics,llama3-8b-8192
q_670,Beyonce and Jay Z got a Guinness World record for what in 2009?,highest-earning power couple,llama3-8b-8192
q_671,Beyonce became the highest-paid black musician in which year?,UNKNOWN,llama3-8b-8192
q_672,"Up until May of 2015, how much is Beyonce's total worth?",$250 million,llama3-8b-8192
