qid,question,ground_truth,source_doc_id
q_314,Where did Beyonce get her name from?,"[""her mother's maiden name""]",doc_58
q_315,What race was Beyonce's father?,"[""African-American""]",doc_58
q_316,Beyonce's childhood home believed in what religion?,"[""Methodist""]",doc_58
q_317,Beyonce's father worked as a sales manager for what company?,"[""Xerox""]",doc_58
q_318,Beyonce's mother worked in what industry?,"[""hairdresser and salon owner""]",doc_58
q_319,What younger sister of Beyonce also appeared in Destiny's Child?,"[""Solange""]",doc_58
q_320,Beyonce is a descendent of what Arcadian leader?,"[""Joseph Broussard""]",doc_58
q_321,What company did Beyoncé's father work for when she was a child?,"[""Xerox""]",doc_58
q_322,What did Beyoncé's mother own when Beyoncé was a child?,"[""salon""]",doc_58
q_323,What is the name of Beyoncé's younger sister?,"[""Solange""]",doc_58
q_324,Beyoncé is a descendant of which Acadian leader?,"[""Joseph Broussard.""]",doc_58
q_325,Beyoncé was raised in what religion?,"[""Methodist""]",doc_58
q_326,What town did Beyonce go to school in?,"[""Fredericksburg""]",doc_59
q_327,Who was the first person to notice Beyonce's singing ability?,"[""Darlette Johnson""]",doc_59
q_328,Beyonce moved to which town after she left her first elementary school?,"[""Houston""]",doc_59
q_329,Which of her teachers discovered Beyonce's musical talent?,"[""dance instructor Darlette Johnson""]",doc_59
q_330,I which church was Beyonce a member and soloist in the choir?,"[""St. John's United Methodist Church""]",doc_59
q_331,What type of school was Parker Elementary School?,"[""music magnet school""]",doc_59
q_332,Which song did Beyonce sing to win a competition at age 7?,"[""Imagine""]",doc_59
q_333,What city was Beyoncé's elementary school located in?,"[""Fredericksburg""]",doc_59
q_334,What was the name of Beyoncé's first dance instructor?,"[""Darlette Johnson""]",doc_59
q_335,How old was Beyoncé when she won a school talent show?,"[""seven""]",doc_59
q_336,What choir did Beyoncé sing in for two years?,"[""St. John's United Methodist Church""]",doc_59
q_337,Who decided to place Beyonce's group in Star Search the talent show?,"[""Arne Frager""]",doc_60
q_338,"In 1995, who decided to manage the girls singing group?","[""Beyoncé's father""]",doc_60
q_339,Who was the first record label to give the girls a record deal?,"[""Elektra Records""]",doc_60
q_340,Who brought Beyonce to California and enter her group in Star Search?,"[""Arne Frager""]",doc_60
q_341,In what year did Beyonce's father quit his job to manage her group?,"[""1995""]",doc_60
q_342,What large record company recorded Beyonce's group's first album?,"[""Sony Music""]",doc_60
q_343,What record company first signed Beyonce's group and later cut them?,"[""Elektra Records""]",doc_60
q_344,At what age did Beyonce meet LaTavia Robertson?,"[""age eight""]",doc_60
q_345,How old was Beyoncé when she met LaTavia Roberson?,"[""eight""]",doc_60
q_346,What was the name of the first group Beyoncé was a part of?,"[""Girl's Tyme""]",doc_60
q_347,Who placed Girl's Tyme in Star Search?,"[""Arne Frager""]",doc_60
q_348,When did Beyoncé begin to manage the girl group?,"[""1995""]",doc_60
q_349,"Who signed the girl group on October 5, 1995?","[""Dwayne Wiggins's Grass Roots Entertainment""]",doc_60
q_350,Which film featured Destiny's Child's first major single?,"[""Men in Black""]",doc_61
q_351,"For which song, did Destiny's Child take home the grammy award for best R&B performance?","[""\""Say My Name\""""]",doc_61
q_352,"Who did Beyonce record with for the movie ""The Best Man?""","[""Marc Nelson""]",doc_61
q_353,Beyonce's group changed their name to Destiny's Child in what year?,"[""1996""]",doc_61
q_354,The name Destiny's Child was based on a quote in which book of the Bible?,"[""Book of Isaiah""]",doc_61
q_355,"Debut song, ""Killing Time"" was featured on what movie's sound track?","[""Men in Black""]",doc_61
q_356,What song won Best R&B Performance in the 43 Annual Grammy Awards?,"[""Say My Name""]",doc_61
q_357,"What singer did Beyonce record a song with for the movie, ''The Best Man""?","[""Marc Nelson""]",doc_61
q_358,Where did Destiny's Child get their name from?,"[""Book of Isaiah.""]",doc_61
q_359,"Destiny's Child song, Killing Time, was included in which film's soundtrack?","[""Men in Black.""]",doc_61
q_360,What was Destiny's Child's first major song hit?,"[""No, No, No""]",doc_61
q_361,When did Destiny's Child release their second album?,"[""1999""]",doc_61
q_362,"Who did Beyoncé sing a duet with for ""The Best Man"" film?","[""Marc Nelson""]",doc_61
q_363,What mental health issue did Beyonce go through?,"[""depression""]",doc_62
q_364,What event occured after she was publicly criticized?,"[""boyfriend left her""]",doc_62
q_365,Who supported Beyonce through her depression?,"[""her mother""]",doc_62
q_366,What event caused Beyonce's depression?,"[""split with Luckett and Rober""]",doc_62
q_367,How long was Beyonce depressed?,"[""a couple of years""]",doc_62
q_368,Who helped Beyonce fight her depression the most?,"[""her mother""]",doc_62
q_369,Who replaced Luckett and Roberson in Destiny's Child?,"[""Farrah Franklin and Michelle Williams.""]",doc_62
q_370,Who was blamed for Luckett and Roberson leaving Destiny's Child?,"[""Beyoncé""]",doc_62
q_371,Who helped Beyoncé overcome her depression during the years following the Destiny's Child split?,"[""her mother""]",doc_62
q_372,Which newest member was removed from Destiny's Child?,"[""Farrah Franklin""]",doc_62
q_373,"""Charlie's Angels"" featured which single from the band members?","[""Independent Women Part I""]",doc_63
q_374,"How many weeks did their single ""Independent Women Part I"" stay on top?","[""eleven""]",doc_63
q_375,"For what network, did Beyonce land a major movie role in?","[""MTV""]",doc_63
q_376,"Their third album, Survivor, sold how many during its first week?","[""663,000 copies""]",doc_63
q_377,What French composer wrote the original opera ''Carmen'' in the 19th century?,"[""Georges Bizet""]",doc_63
q_378,What album caused a lawsuit to be filed in 2001?,"[""Survivor""]",doc_63
q_379,Independent Women Part I was on which 2000 film's soundtrack?,"[""Charlie's Angels.""]",doc_63
q_380,Which film did Beyoncé star in 2001 with Mekhi Phifer?,"[""Carmen: A Hip Hopera""]",doc_63
q_381,What was the name of Destiny Child's third album?,"[""Survivor""]",doc_63
q_382,Who filed a lawsuit over Survivor?,"[""Luckett and Roberson""]",doc_63
q_383,When did Destiny's Child announce their hiatus?,"[""October 2001""]",doc_63
q_384,"Who did Beyonce star with in the movie, ""Austin Powers in Goldmember""?","[""Mike Myers""]",doc_64
q_385,"Which three countries did Beyonce's song ""Work It Out"" achieve top ten status?","[""UK, Norway, and Belgium""]",doc_64
q_386,Beyonce starred with Cuba Gooding Jr. in which film?,"[""The Fighting Temptations""]",doc_64
q_387,"Who did Beyonce record the lead single with in the movie ""The Fighting Temptations""?","[""Missy Elliott""]",doc_64
q_388,Which other song from the soundtrack did better in the charts?,"[""Summertime""]",doc_64
q_389,What film did Beyonce appear in with Mike Myers?,"[""Austin Powers in Goldmember""]",doc_64
q_390,"What large amount did the movie ""Goldmember"" gross?","[""73 million""]",doc_64
q_391,"What genre of movie did Beyonce star in with Cuba Gooding, Jr?","[""musical comedy""]",doc_64
q_392,What song was the lead single from the film's sound track?,"[""Fighting Temptations""]",doc_64
q_393,"How did the critics view the movie, ''The Fighting Temptations''?","[""mixed reviews""]",doc_64
q_394,What film did Beyoncé star in with Mike Myers in 2002?,"[""Austin Powers in Goldmember""]",doc_64
q_395,What was Beyoncé's character called in Austin Powers in Goldmember?,"[""Foxxy Cleopatra""]",doc_64
q_396,Which song did Beyoncé release as the lead single for Austin Powers in Goldmember's soundtrack?,"[""Work It Out""]",doc_64
q_397,"What musical comedy did Beyoncé star in along with Cuba Gooding, Jr. in 2003?","[""The Fighting Temptations""]",doc_64
q_398,What song did Beyoncé release as the lead single from The Fighting Tempations?,"[""Fighting Temptations""]",doc_64
q_399,What was the highest Beyonce's first solo recording achieved in the Billboard Hot 100?,"[""number four""]",doc_65
q_400,Beyonce's first album by herself was called what?,"[""Dangerously in Love""]",doc_65
q_401,"How many has ""Dangerously in Love"" sould worldwide since its debut?","[""11 million""]",doc_65
q_402,Beyonce's first number one song was which song?,"[""Crazy in Love""]",doc_65
q_403,How many top five singles came from her first album?,"[""four""]",doc_65
q_404,Beyonce's first solo album in the U.S. with what artist in the lead single?,"[""Jay Z""]",doc_65
q_405,What solo album did Beyonce release in 2003?,"[""Dangerously in Love""]",doc_65
q_406,"The album, Dangerously in Love achieved what spot on the Billboard Top 100 chart?","[""number four""]",doc_65
q_407,"""The Closer I get to You"" was recorded with which artist?","[""Luther Vandross""]",doc_65
q_408,Which artist was associated with Beyoncé's premiere solo recording?,"[""Jay Z""]",doc_65
q_409,When did Beyoncé release her first solo album?,"[""June 24, 2003""]",doc_65
q_410,What is the lead single on Beyoncé's first album?,"[""Crazy in Love""]",doc_65
q_411,Who helped Beyoncé earn a Grammy award for Best R&B Performance by a Duo or Group at the 46th annual Grammy Awards?,"[""Luther Vandross.""]",doc_65
q_412,How many awards did Beyoncé win at the 46th Grammy's Awards?,"[""five.""]",doc_65
q_413,Destiny's Child's final album was named what?,"[""Destiny Fulfilled""]",doc_66
q_414,Destiny's Child got a star on the Hollywood Walk of Fame in what year?,"[""2006""]",doc_66
q_415,In what year did Beyonce embark on her Dangerously in Love tour of Europe?,"[""November 2003""]",doc_66
q_416,What was the name of the final album of Destiny's Child?,"[""Destiny Fulfilled""]",doc_66
q_417,It was announced that Destiny's Child would disban in what European city?,"[""Barcelona""]",doc_66
q_418,When did Destiny's Child get their star on the Hollywood Walk of Fame?,"[""March 2006""]",doc_66
q_419,What was the name of Beyoncé's European start that started in November 2003?,"[""Dangerously in Love Tour""]",doc_66
q_420,Who did Beyoncé tour with for the Verizon Lades First Tour?,"[""Missy Elliott and Alicia Keys""]",doc_66
q_421,"What major event did Beyoncé perform at on February 1, 2004?","[""Super Bowl XXXVIII""]",doc_66
q_422,What is the name of the final studio album from Destiny's Child?,"[""Destiny Fulfilled.""]",doc_66
q_423,How many albums did Beyonce sell in the first week when she released her second album?,"[""541,000""]",doc_67
q_424,The lead single from the album was which song?,"[""Déjà Vu""]",doc_67
q_425,"How many countries did her song ""Irreplaceable"" get number one status in?","[""five""]",doc_67
q_426,How many singles did her second album produce?,"[""five""]",doc_67
q_427,What birthday did Beyonce's album B'Day celebrate?,"[""twenty-fifth birthday""]",doc_67
q_428,"What artist did Beyonce duet with in the single, ""Deja Vu''?","[""Jay Z""]",doc_67
q_429,How high did ''Deja Vu'' climb on the Billboard chart?,"[""top five""]",doc_67
q_430,What is the name of Beyoncé's second album?,"[""B'Day""]",doc_67
q_431,How many copies did B'Day sell during the first week of its release?,"[""541,000""]",doc_67
q_432,"Who collaborated with Beyoncé on the single, Deja Vu?","[""Jay Z""]",doc_67
q_433,Which single from B'Day was only released in the U.K.?,"[""Green Light""]",doc_67
q_434,What movie did Beyonce act in 2006?,"[""The Pink Panther""]",doc_68
q_435,Her second movie Beyonce did was what film?,"[""Dreamgirls""]",doc_68
q_436,"The single, ""Listen"" was featured in which movie?","[""Dreamgirls""]",doc_68
q_437,Beyonce's first world tour was when?,"[""2007""]",doc_68
q_438,How much money did Beyonce's tour make in 2007?,"[""24 million""]",doc_68
q_439,How many millions of dollars did ''The Pink Panther'' gross world-wide?,"[""158.8 million""]",doc_68
q_440,What did Beyonce call her first concert tour?,"[""The Beyoncé Experience""]",doc_68
q_441,Who was Beyonce's duet with in ''Beautiful Liar''?,"[""Shakira""]",doc_68
q_442,Which film did Beyoncé star with Steve Martin in?,"[""The Pink Panther""]",doc_68
q_443,Beyoncé's role in Dreamgirls was based on what pop singer?,"[""Diana Ross.""]",doc_68
q_444,What was the lead single for the Dreamgirls soundtrack?,"[""Listen""]",doc_68
q_445,What was the name of Beyoncé's first international tour?,"[""The Beyoncé Experience""]",doc_68
q_446,What pop singer did a duet with Beyoncé on Beautiful Liar?,"[""Shakira""]",doc_68
q_447,Beyonce got married in 2008 to whom?,"[""Jay Z""]",doc_69
q_448,"Her third album, ""I am...Sasha Fierce"" was released when?","[""November 18, 2008""]",doc_69
q_449,"For which decade, did Beyonce have more top ten songs than any other woman?","[""2000s""]",doc_69
q_450,Which singer beat out Beyonce for best video performance?,"[""Taylor Swift""]",doc_69
q_451,"In 2009, Beyonce started her second world tour and grossed how much money?","[""119.5 million""]",doc_69
q_452,How did she reveal the marriage?,"[""in a video montage""]",doc_69
q_453,When did Beyonce begin her second world tour?,"[""March 2009""]",doc_69
q_454,Who beat out Beyonce for Best Female Video ?,"[""Taylor Swift""]",doc_69
q_455,How much did the second world tour make in dollars?,"[""119.5 million""]",doc_69
q_456,When did Beyoncé get married?,"[""April 4, 2008""]",doc_69
q_457,Who did Beyoncé marry?,"[""Jay Z.""]",doc_69
q_458,Who is Beyoncé's alter ego?,"[""Sasha Fierce""]",doc_69
q_459,The video for what song won Beyoncé the 2009 MTV Video of the Year award?,"[""Single Ladies""]",doc_69
q_460,Which prominent star felt the 2009 Female Video of the Year award should have went to Beyoncé instead of Taylor Swift?,"[""Kanye West""]",doc_69
q_461,"Beyonce portrayed which character in the film, Cadillac Records?","[""Etta James""]",doc_70
q_462,Beyonce gave her entire salary from Cadillac Records to which organization?,"[""Phoenix House""]",doc_70
q_463,Which song did Beyonce sing at the first couple's inaugural ball?,"[""At Last""]",doc_70
q_464,"What genre of film was the movie, Obsessed, in which Beyonce starred in?","[""thriller""]",doc_70
q_465,"A fight scene from the movie, Obsessed, won which award for Beyonce?","[""MTV Movie Award for Best Fight""]",doc_70
q_466,Where did Beyonce donate her salary from the movie Cadillac Records?,"[""Phoenix House""]",doc_70
q_467,What thriller film did Beyonce star in?,"[""Obsessed""]",doc_70
q_468,What was the name of the woman she played in Obsessed?,"[""Sharon Charles""]",doc_70
q_469,How much more that the buget did the film gross?,"[""60 million""]",doc_70
q_470,Which singer did Beyoncé portray in Cadillac Records?,"[""Etta James""]",doc_70
q_471,Which organization received Beyoncé's entire Cadillac Records salary?,"[""Phoenix House""]",doc_70
q_472,"Where did Beyoncé perform on January 20, 2009?","[""the First Couple's first inaugural ball.""]",doc_70
q_473,Which thriller film did Beyoncé star in with Ali Larter?,"[""Obsessed.""]",doc_70
q_474,How many awards was Beyonce nominated for at the 52nd Grammy Awards?,"[""ten""]",doc_71
q_475,Beyonce tied with which artist for most nominations by a female artist?,"[""Lauryn Hill""]",doc_71
q_476,"In 2010, Beyonce worked with which other famous singer?","[""Lady Gaga""]",doc_71
q_477,"How many number one singles did Beyonce now have after the song ""Telephone""?","[""six""]",doc_71
q_478,Beyonce tied who for most number one singles by a female?,"[""Mariah Carey""]",doc_71
q_479,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,"[""ten nominations""]",doc_71
q_480,What song was the sixth first place song for Beyonce?,"[""Telephone""]",doc_71
q_481,Who else appeared with Beyonce in Telephone?,"[""Lady Gaga""]",doc_71
q_482,Who did they tie with for six top songs?,"[""Mariah Carey""]",doc_71
q_483,Who did Beyonce tie with for the most nominations in a year?,"[""Lauryn Hill""]",doc_71
q_484,How many nominations did Beyoncé receive at the 52nd Grammy Awards ceremony?,"[""ten""]",doc_71
q_485,Who did Beyoncé tie with for the most Grammy nominations for female artists?,"[""Lauryn Hill""]",doc_71
q_486,"Beyoncé was a featured artist on which singer's hit, Telephone?","[""Lady Gaga""]",doc_71
q_487,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,"[""Mariah Carey""]",doc_71
q_488,Beyonce would take a break from music in which year?,"[""2010""]",doc_72
q_489,Which year did Beyonce and her father part business ways?,"[""2010""]",doc_72
q_490,Which famous landmark did Beyonce see in China?,"[""the Great Wall of China""]",doc_72
q_491,In what year did Beyonce have her hiatus?,"[""2010""]",doc_72
q_492,Who inspired this hiatus?,"[""her mother""]",doc_72
q_493,When did she stop using her father as a manager?,"[""During the break""]",doc_72
q_494,How long did the hiatus last?,"[""nine months""]",doc_72
q_495,What did Beyoncé announce in January 2010?,"[""a hiatus""]",doc_72
q_496,Who suggested the hiatus for Beyoncé?,"[""her mother""]",doc_72
q_497,Who did Beyoncé part ways with during her hiatus?,"[""her father""]",doc_72
q_498,How long did her hiatus last?,"[""nine months""]",doc_72
q_499,In which year was reports about Beyonce performing for Muammar Gaddafi surface?,"[""2011""]",doc_73
q_500,Who did Beyonce donate the money to earned from her shows?,"[""Clinton Bush Haiti Fund""]",doc_73
q_501,Beyonce became the first female artist to perform solo in 20 years at which stage?,"[""the 2011 Glastonbury Festival""]",doc_73
q_502,Which organization did Beyonce's spokespeople confirm her donations to?,"[""The Huffington Post""]",doc_73
q_503,Beyonce was listed in 2011 as the highest paid performer per what?,"[""minute""]",doc_73
q_504,Hoe did everyone learn that Beyonce performed for Kaddafi?,"[""documents obtained by WikiLeaks""]",doc_73
q_505,When did this leak happen?,"[""2011""]",doc_73
q_506,Who did she tell about the donation?,"[""The Huffington Post""]",doc_73
q_507,Where did Beyonce perform in 2011?,"[""Glastonbury Festival""]",doc_73
q_508,Who did Beyoncé perform privately for in 2011?,"[""Muammar Gaddafi.""]",doc_73
q_509,Who released the information about Beyoncé's performance for the Libyan ruler?,"[""WikiLeaks""]",doc_73
q_510,Which organization did Beyoncé donate her pay for the private performance to?,"[""Clinton Bush Haiti Fund.""]",doc_73
q_511,Beyoncé was the first female singer to headline what at the 2011 Glastonbury Festival?,"[""Pyramid stage""]",doc_73
q_512,Beyonce's fourth album debuted in what year?,"[""2011""]",doc_74
q_513,Which single had the most success from that album?,"[""Love on Top""]",doc_74
q_514,Beyonce won an award for which activity in 2011?,"[""writing""]",doc_74
q_515,"in 2011, Beyonce performed for four nights where?","[""New York's Roseland Ballroom""]",doc_74
q_516,When was Beyonce's forth album released?,"[""June 28, 2011""]",doc_74
q_517,How many copies did the album sell in its first week?,"[""310,000 copies""]",doc_74
q_518,Who awarded Beyonce and award for writing?,"[""New York Association of Black Journalists""]",doc_74
q_519,When did she perform at the Roseland ballroom?,"[""2011""]",doc_74
q_520,What is the name of Beyoncé's fourth studio album?,"[""4""]",doc_74
q_521,When was 4 released?,"[""June 28, 2011""]",doc_74
q_522,How many copies of 4 sold in the first week?,"[""310,000""]",doc_74
q_523,What magazine did Beyoncé write a story for about her earlier hiatus?,"[""Essence""]",doc_74
q_524,Where did Beyoncé perform for four nights of standing room only concerts in 2011?,"[""New York's Roseland Ballroom""]",doc_74
q_525,When did Beyonce have her first child?,"[""January 7, 2012""]",doc_75
q_526,Where did Beyonce give birth to her first child?,"[""Lenox Hill Hospital""]",doc_75
q_527,Beyonce's first child is named what?,"[""Blue Ivy Carter""]",doc_75
q_528,Her first appearance performing since giving birth was where?,"[""Revel Atlantic City's Ovation Hall""]",doc_75
q_529,When did Beyonce have her first child?,"[""January 7, 2012""]",doc_75
q_530,What was the child's name?,"[""Blue Ivy Carter""]",doc_75
q_531,How long was it after the birth of her child before she performed again?,"[""Five months""]",doc_75
q_532,How many nights did she perform at Atlantic City?,"[""four nights""]",doc_75
q_533,When did Beyoncé give birth to a daughter?,"[""January 7, 2012""]",doc_75
q_534,What did Beyoncé name her daughter?,"[""Blue Ivy Carter""]",doc_75
q_535,Where was Blue Ivy born?,"[""Lenox Hill Hospital in New York.""]",doc_75
q_536,Where was Beyoncé's first public performance after giving birth?,"[""Revel Atlantic City's Ovation Hall""]",doc_75
q_537,How many nights did Beyoncé play at the resort?,"[""four""]",doc_75
q_538,Destiny's Child released a compilation album about which topic?,"[""romance""]",doc_76
q_539,Beyonce's documentary movie was called what?,"[""Life Is But a Dream""]",doc_76
q_540,What did Beyonce sign in 2013?,"[""global publishing agreement""]",doc_76
q_541,"When did Destiny's Child release its album ""Love Songs""?","[""January 2013""]",doc_76
q_542,What was the title of the added track in Love Songs?,"[""Nuclear""]",doc_76
q_543,At whose inauguration did she perform the National Anthem?,"[""President Obama""]",doc_76
q_544,How many Tweets per minute did the half time show get?,"[""268,000 tweets per minute""]",doc_76
q_545,When did Destiny's Child release Love Songs?,"[""January 2013""]",doc_76
q_546,What was the new track for Love Songs?,"[""Nuclear""]",doc_76
q_547,What did Beyoncé sing at President Obama's second inauguration?,"[""the American national anthem""]",doc_76
q_548,What event did Beyoncé perform at one month after Obama's inauguration?,"[""Super Bowl XLVII halftime show""]",doc_76
q_549,What is the name of Beyoncé's documentary film?,"[""Life Is But a Dream""]",doc_76
q_550,"How many dates did Beyonce's ""The Mrs. Carter Show"" entail?","[""132""]",doc_77
q_551,One of Beyonce's most successful tours yet was which one?,"[""The Mrs. Carter Show""]",doc_77
q_552,"Beyonce wrote which song for the movie ""Epic""?","[""Rise Up""]",doc_77
q_553,Beyonce voiced a character in which animated film?,"[""Epic""]",doc_77
q_554,When did the tour begin?,"[""April 15""]",doc_77
q_555,Of what event was Beyonce honorary chair?,"[""2013 Met Gala""]",doc_77
q_556,What part did she voice for the movie Epic?,"[""Queen Tara""]",doc_77
q_557,What song did Beyonce record for the film Epic?,"[""Rise Up""]",doc_77
q_558,What was the name of Beyoncé's tour that she started on April 15?,"[""The Mrs. Carter Show World Tour""]",doc_77
q_559,How many dates did the Mrs. Carter Show World Tour have?,"[""132""]",doc_77
q_560,Which Amy Winehouse song did Beyoncé cover and release in May 2014?,"[""Back to Black""]",doc_77
q_561,Beyoncé was an honorary chair of the 2013 what?,"[""Met Gala.""]",doc_77
q_562,"Which character in the film, Epic, was voiced by Beyoncé?","[""Queen Tara""]",doc_77
q_563,Where did Beyonce release her 5th album to a huge surprise?,"[""the iTunes Store""]",doc_78
q_564,When did Beyonce get her fifth consecutive number one hit album?,"[""December 13, 2013""]",doc_78
q_565,Where was the album released?,"[""the iTunes Store""]",doc_78
q_566,Who joined Beyonce on her On The Run Tour?,"[""Jay Z""]",doc_78
q_567,Who reported Beyonce to e the top earning woman in music?,"[""Forbes""]",doc_78
q_568,How much more were her earnings that the year before?,"[""more than double her earnings""]",doc_78
q_569,When did Beyoncé release her fifth studio album?,"[""December 13, 2013""]",doc_78
q_570,How many digital copies of her fifth album did Beyoncé sell in six days?,"[""one million""]",doc_78
q_571,What song on Beyoncé's fifth studio album featured her husband?,"[""Drunk in Love""]",doc_78
q_572,What was the name of the tour featuring both Beyoncé and Jay Z?,"[""On the Run Tour.""]",doc_78
q_573,How many awards did Beyonce take home with her at the 57th Grammy Awards?,"[""three""]",doc_79
q_574,Which artist beat Beyonce out for Album of the year?,"[""Beck""]",doc_79
q_575,Which magazine did Beyonce pose on the cover for in August of 2015?,"[""Vogue""]",doc_79
q_576,Beyonce would perform with who at Superbowl 50?,"[""Coldplay""]",doc_79
q_577,Beyonce took home how many awards at the 57th Grammy Awards?,"[""three""]",doc_79
q_578,Beyonce lost to which artist for Album of the year?,"[""Beck""]",doc_79
q_579,Who did Beyonce perform next to during Superbowl 50?,"[""Coldplay""]",doc_79
q_580,"If Beyonce won three Grammies in 2015, how many was she nominated for?","[""six awards""]",doc_79
q_581,On what magazine was she the cover model?,"[""Vogue""]",doc_79
q_582,Who would she perform with at Superbowl 50?,"[""Coldplay""]",doc_79
q_583,With what British band did Beyonce perform on their album?,"[""Coldplay""]",doc_79
q_584,How many awards was Beyoncé nominated for at the 57th annual Grammys?,"[""six""]",doc_79
q_585,How many awards did Beyoncé win at the 57th Annual Grammys?,"[""three""]",doc_79
q_586,Beyoncé lost the Album of the Year award to which entertainer?,"[""Beck""]",doc_79
q_587,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?","[""Vogue""]",doc_79
q_588,Who did Beyonce perform with at Super Bowl 50?,"[""Coldplay""]",doc_79
q_589,"Beyonce released the song ""Formation"" on which online music service?","[""Tidal""]",doc_80
q_590,Beyonce's new single released before the super bowl was called what?,"[""Formation""]",doc_80
q_591,"What day did Beyonce release her single, Formation?","[""February 6, 2016""]",doc_80
q_592,How was the single released?,"[""exclusively""]",doc_80
q_593,What was the name of the streaming service?,"[""Tidal""]",doc_80
q_594,What kind of platform was the song released?,"[""music streaming""]",doc_80
q_595,When did Beyoncé release Formation?,"[""February 6, 2016""]",doc_80
q_596,"Where did Beyoncé exclusively release her single, Formation?","[""Tidal""]",doc_80
q_597,"As of April 2014, how many albums have Jay Z and Beyonce sold together?","[""300 million""]",doc_81
q_598,Where did Beyonce become pregnant?,"[""Paris""]",doc_81
q_599,"Beyonce described what as the ""hardest thing she had to endure""?","[""miscarriage""]",doc_81
q_600,Who did Beyonce have a relationship with?,"[""Jay Z""]",doc_81
q_601,When were Beyonce and Jay Z married?,"[""April 4, 2008""]",doc_81
q_602,Together how records have they sold ?,"[""300 million""]",doc_81
q_603,How did Beyonce deal with the miscarriage of her child?,"[""wrote music""]",doc_81
q_604,Where was Beyonce when she became pregnant?,"[""Paris""]",doc_81
q_605,"In which music video did Beyoncé star as Jay Z's girlfriend, creating speculation about their relationship?","[""'03 Bonnie & Clyde""]",doc_81
q_606,When were Beyoncé and Jay Z married?,"[""April 4, 2008""]",doc_81
q_607,How many records combined have Beyoncé and Jay Z sold?,"[""300 million""]",doc_81
q_608,What did Beyoncé describe as the saddest thing in her life?,"[""miscarriage""]",doc_81
q_609,Where did Beyoncé get pregnant?,"[""Paris.""]",doc_81
q_610,Jay Z and Beyonce attended which event together in August of 2011?,"[""MTV Video Music Awards""]",doc_82
q_611,Beyonce confirmed what after performing one of her songs?,"[""her pregnancy""]",doc_82
q_612,How many people watched the 2011 MTV Music Awards?,"[""12.4 million""]",doc_82
q_613,Where did she announce her pregnancy?,"[""2011 MTV Video Music Awards""]",doc_82
q_614,Why was the broadcast the most-watched in history?,"[""Her appearance""]",doc_82
q_615,What even was recorded in the Guinness World Records?,"[""most tweets per second""]",doc_82
q_616,"What was the most searched term in week of Aug 29, 2011?","[""Beyonce pregnant""]",doc_82
q_617,What song did she perform at the MTV Awards?,"[""Love on Top""]",doc_82
q_618,Where did Beyoncé announce her pregnancy?,"[""2011 MTV Video Music Awards""]",doc_82
q_619,What song did Beyoncé sing prior to announcing her pregnancy?,"[""Love on Top""]",doc_82
q_620,How many people watched the 2011 MTV Video Music Awards?,"[""12.4 million""]",doc_82
q_621,"What was the most searched term on Google for the week of August 29, 2011?","[""Beyonce pregnant""]",doc_82
q_622,Jay Z has a website called what?,"[""Lifeandtimes.com""]",doc_83
q_623,Which song by Jay Z talked about the pregnancy struggles?,"[""Glory""]",doc_83
q_624,What was the name of Beyonce's daughter?,"[""Blue Ivy Carter""]",doc_83
q_625,At what hospital was the baby delivered?,"[""Lenox Hill Hospital""]",doc_83
q_626,What was the named of the song dedicated to the child?,"[""Glory""]",doc_83
q_627,What does B.I.C. stand for?,"[""Blue Ivy Carter""]",doc_83
q_628,Who was credited for her cries on the song?,"[""B.I.C.""]",doc_83
q_629,When did Beyoncé give birth to her daughter?,"[""January 7, 2012""]",doc_83
q_630,What did Beyoncé and Jay Z name their daughter?,"[""Blue Ivy Carter""]",doc_83
q_631,What song did Jay Z release two days after Blue Ivy was born?,"[""Glory""]",doc_83
q_632,What is included at the end of Glory?,"[""Blue Ivy's cries""]",doc_83
q_633,How was Blue Ivy credited on Glory?,"[""B.I.C.""]",doc_83
q_634,Beyonce and Jay-Z went to a rally for the acquittal of whom?,"[""George Zimmerman""]",doc_84
q_635,Beyonce sang which song during the 2009 presidential inauguration?,"[""America the Beautiful""]",doc_84
q_636,How much did Beyonce raise for Obama at the 40/40 Club?,"[""4 million""]",doc_84
q_637,"What did she endorse on March 26, 2013?","[""same sex marriage""]",doc_84
q_638,What did they attend in July 2013?,"[""a rally""]",doc_84
q_639,What did she sing at the 2009 Presidential Inauguration?,"[""America the Beautiful""]",doc_84
q_640,What song did Beyoncé perform at the 2009 inauguration of Obama?,"[""America the Beautiful""]",doc_84
q_641,What song did Beyoncé perform at the first inaugural dance for the Obamas.,"[""At Last""]",doc_84
q_642,What social media platform did Beyoncé upload a picture of her paper ballot on?,"[""Tumblr""]",doc_84
q_643,"When did Beyoncé endorse on March 26, 2013?","[""same sex marriage""]",doc_84
q_644,Beyonce did an interview with which magazine and was asked about feminism?,"[""Vogue""]",doc_85
q_645,Beyonce supported which campaign that encourages leadership in girls?,"[""Ban Bossy campaign""]",doc_85
q_646,Where was Beyonce quoted as saying that she is a modern-day feminist?,"[""Vogue""]",doc_85
q_647,When did she say the she is a feminist?,"[""April 2013""]",doc_85
